pair,code_distance,wav_distance
acid—v3(line25 0.125-0.25) vs acid—v1（line 10 0.5-1),0.061485592275857925,1.2432799339294434
acid—v3(line25 0.125-0.25) vs acid—v2(line15 0.5-1),0.05190423130989075,0.9488362073898315
acid—v3(line25 0.125-0.25) vs acid—original,0.0,0.9762665033340454
acid—v3(line25 0.125-0.25) vs acid--v4(line14 amp 5-4.9),0.049376480281353,1.00810706615448
acid—v1（line 10 0.5-1) vs acid—v2(line15 0.5-1),0.02999688684940338,0.8898486495018005
acid—v1（line 10 0.5-1) vs acid—original,0.061485592275857925,0.6422967910766602
acid—v1（line 10 0.5-1) vs acid--v4(line14 amp 5-4.9),0.07179376482963562,0.5460222959518433
acid—v2(line15 0.5-1) vs acid—original,0.05190423130989075,0.48126327991485596
acid—v2(line15 0.5-1) vs acid--v4(line14 amp 5-4.9),0.06072865054011345,0.4938579201698303
acid—original vs acid--v4(line14 amp 5-4.9),0.049376480281353,0.34989550709724426
